251000
2313,胃口,3974
3999,片,3952
1363,路过,3940
1967,稍微,3935
1835,难吃,3919
766,的确,3915
31,重,3914
2589,服务生,3899
2427,妈妈,3891
786,原来,3839
2341,难,3829
1580,甜点,3778
967,冰,3756
268,二,3744
1267,好好,3742
2344,层,3738
1322,唯一,3724
1265,请,3720
3381,淡,3714
1351,满意,3711
927,周末,3700
1189,酸奶,3697
3245,活动,3695
467,不多,3695
166,张,3690
227,几乎,3687
659,很久,3684
216,聚餐,3668
1709,关系,3655
1690,优惠,3635
1853,类,3626
544,总的来说,3611
1932,下去,3611
1494,坐在,3597
253,好的,3593
119,滑,3587
1747,总,3568
1535,鸭,3566
1285,店面,3552
10792,牛排,3551
8918,炒饭,3547
1254,由于,3537
882,之,3519
4314,窗,3508
1103,调料,3503
477,为了,3497
1029,包房,3492
4755,尝尝,3471
735,人均,3447
10839,鹅肝,3447
30,顿,3430
613,上次,3426
1418,撑,3406
2651,搞,3395
3657,起,3395
1079,满足,3388
52,鸡肉,3367
1907,后面,3352
722,消费,3351
1160,这家,3340
1275,听说,3321
2098,港式,3305
80,冷,3289
1280,光顾,3286
1936,蛮好,3284
858,近,3274
2140,牛腩,3272
1268,鲜美,3268
16751,猪排,3253
2248,盘,3237
1338,滴,3230
1523,听,3229
3418,蛋,3225
891,哎,3222
1383,条,3220
2331,看上去,3220
1895,下面,3213
10701,蜂蜜,3189
1380,总是,3187
3348,冲着,3183
247,本,3177
8486,咖啡,3174
246,对于,3173
1797,基本上,3167
842,菜式,3163
98,预定,3129
179,为,3118
297,不够,3115
1442,问题,3105
2473,清淡,3098
1784,饼,3093
1444,请客,3089
432,越来越,3088
11361,布丁,3087
1373,火,3086
1858,人家,3073
797,回家,3060
1565,吗,3059
716,水,3055
570,特地,3043
1166,老板,3043
5232,边,3037
1198,不到,3034
13784,购,3033
1447,哈,3031
1278,介绍,3028
2617,风格,3022
560,有的,3008
944,接受,3003
1819,明显,3000
1893,入口,2992
710,买单,2981
404,去过,2981
2463,不同,2978
1522,看看,2966
780,饭店,2955
695,南瓜,2945
1484,不太,2936
740,食材,2927
870,羊排,2913
609,错,2907
1370,晚饭,2900
2096,墨鱼,2879
10720,叉烧,2878
1804,惊艳,2870
689,好久,2867
303,肥牛,2843
13847,表演,2842
723,根本,2842
3143,评价,2841
2649,加了,2837
3252,传说,2834
4804,冰激凌,2831
849,油腻,2809
747,预约,2807
1350,拉,2780
1178,不知道,2772
4429,生,2772
381,肚子,2771
4212,猪,2763
704,正,2762
2443,羊肉串,2761
643,鱼头,2760
742,容易,2757
668,最好,2750
778,爽口,2745
690,多少,2732
139,样,2730
1520,不然,2723
2148,电话,2710
2036,浪费,2706
1514,到位,2698
1813,掉,2694
2895,很少,2689
1054,质量,2686
561,卖,2685
1924,没什么,2681
5274,小小,2680
468,以,2679
417,之类,2679
1131,偶尔,2665
188,平时,2665
426,忘记,2663
2483,当,2655
634,要求,2655
1172,尤其是,2637
3303,所有,2634
1230,肉质,2632
2043,只要,2632
1070,丰富,2631
2826,没啥,2625
2104,切,2616
593,一点点,2602
579,配菜,2600
231,一如既往,2586
1093,花,2569
5963,鸳鸯,2567
2193,冷菜,2564
509,分店,2561
263,敢,2557
1015,下班,2551
9,回来,2546
3117,五,2539
2890,酸酸,2539
1933,逛,2535
365,底,2530
20291,乳鸽,2523
904,属于,2521
2105,薄,2519
1754,或者,2517
2938,算了,2511
11963,鳕鱼,2502
563,酱料,2498
621,与,2484
2611,加上,2483
3562,据说,2480
10991,抹茶,2471
305,店家,2466
1605,原因,2460
493,挤,2457
1466,糯米,2455
408,当时,2452
1419,丝,2450
3050,冰淇淋,2449
2840,准备,2447
1698,话,2444
11300,意面,2440
4155,硬,2439
1185,毕竟,2436
525,见,2414
1469,别,2400
1921,漂亮,2400
2318,嘿嘿,2395
681,那边,2393
1549,试,2391
2321,相比,2391
652,合算,2390
632,价位,2384
1710,看来,2383
298,川菜,2383
65,咬,2373
1190,女生,2371
893,烤鱼,2369
791,盆,2361
1065,尝,2359
512,队,2359
1934,圈,2356
1540,一半,2343
7051,羊,2335
906,配上,2334
3006,地道,2326
1436,也好,2324
6373,气氛,2319
1379,红,2312
1897,本人,2312
1236,主食,2310
7357,卷,2309
1830,凤爪,2308
595,提,2307
2760,股,2306
773,额,2306
64,鱼肉,2299
1533,颈肉,2298
1505,到了,2292
440,等到,2286
661,辣的,2281
2720,贵的,2274
2085,头,2272
7391,原味,2270
342,月,2264
994,吃掉,2257
1871,空调,2252
319,菜色,2251
2217,那样,2244
4093,茄子,2239
443,催,2232
